;Stock;Description;Model;Loss;MSE;RMSE;MAE;MAPE;R²
0;PETR4;Stock Data;model_1;0.00016567294369451702;0.0003109506336097479;0.01763379237741411;0.01167670362759553;27.885763998018902;0.9691858582445039
1;VALE3;Stock Data;model_1;0.00029371664277277887;0.0004295967025459584;0.02072671470701419;0.01558212825678724;40.19101566081473;0.9884263703946954
2;BBDC4;Stock Data;model_1;0.00035112863406538963;0.0005261270965591645;0.022937460551664485;0.016692830828511945;27.5646545769348;0.9696902571191701
3;ITUB4;Stock Data;model_1;0.00017734088760334998;0.0003963753932856556;0.019909178619060497;0.014479275520553505;22.57931069963475;0.974057394361329
4;PETR4;Stock Data + Google News;model_1;0.00017621151346247643;0.0003293140871038437;0.018147013173077372;0.012161002208756645;27.959627786520176;0.967366102958854
5;VALE3;Stock Data + Google News;model_1;0.0002840647357515991;0.0004581138963112606;0.021403595406175584;0.01602740493956842;40.066817349577136;0.9876580976494291
6;BBDC4;Stock Data + Google News;model_1;0.0003622781368903816;0.0005294404947102051;0.023009573979328804;0.01667665591754107;27.471790777224175;0.9694993750173422
7;ITUB4;Stock Data + Google News;model_1;0.0001890091662062332;0.00042831748160456634;0.020695832469474776;0.015191707244740475;22.516084785844715;0.9719667978849329
8;PETR4;Stock Data + Twitter;model_1;0.0001735225087031722;0.0003174346904941009;0.017816696958025104;0.01191178344262956;27.944715370818518;0.9685433104366228
9;VALE3;Stock Data + Twitter;model_1;0.00025750696659088135;0.00038805306985871264;0.019699062664469916;0.014799316122045218;40.15385714984219;0.989545584332632
10;BBDC4;Stock Data + Twitter;model_1;0.0003496191347949207;0.000533927465052084;0.02310687051619245;0.016655113646819802;27.50946212554367;0.9692408844011665
11;ITUB4;Stock Data + Twitter;model_1;0.00019274538499303162;0.0004229925367207178;0.02056678236187464;0.01502908812787625;22.45674284155856;0.9723153133263791
12;PETR4;Stock Data + IT (IFR + MMS + MME);model_1;0.00018228036060463637;0.0003195764419054927;0.017876701091238636;0.011719135884374362;27.88159290518753;0.9683310702143421
13;VALE3;Stock Data + IT (IFR + MMS + MME);model_1;0.0003440227883402258;0.0006283855545547046;0.02506761964277232;0.01889059988385137;39.92628352269875;0.9830708624748766
14;BBDC4;Stock Data + IT (IFR + MMS + MME);model_1;0.0003473702527116984;0.0005307183333028334;0.02303732478615591;0.016751552581303793;27.416479470645672;0.9694257598026172
15;ITUB4;Stock Data + IT (IFR + MMS + MME);model_1;0.00019981696095783263;0.0004576390314341571;0.021392499419987304;0.015377755884191371;22.2775200225248;0.9700477145693964
16;PETR4;Google News + Twitter + IFR + MMS;model_1;0.00017007873975671828;0.0003375417791156917;0.01837231011919001;0.012106442689951716;27.820039821311166;0.9665507668875603
17;VALE3;Google News + Twitter + IFR + MMS;model_1;0.00032182320137508214;0.003890022557799243;0.062370045356719465;0.04361447698341543;36.19465539243089;0.8952001261335765
18;BBDC4;Google News + Twitter + IFR + MMS;model_1;0.00036265223752707243;0.0005739653938421242;0.023957574873975124;0.016942825011084357;27.495102071432846;0.9669343327427488
19;ITUB4;Google News + Twitter + IFR + MMS;model_1;0.00020661621238105;0.0005284476149314819;0.022987988492503685;0.016100926615319075;22.459829303758898;0.9654133220500299
20;PETR4;Google News + Twitter + IFR + MME;model_1;0.0001931385777425021;0.0003377098035584201;0.018376882313341947;0.012053374103512373;27.784833028292404;0.9665341162413258
21;VALE3;Google News + Twitter + IFR + MME;model_1;0.00028911299887113273;0.0013825940821412719;0.03718325002122961;0.026472844929609923;37.96800397521236;0.9627519678192193
22;BBDC4;Google News + Twitter + IFR + MME;model_1;0.0003498101432342082;0.000548090287139582;0.023411328179742;0.016876911497967488;27.43550882564695;0.9684249760422426
23;ITUB4;Google News + Twitter + IFR + MME;model_1;0.0002105102175846696;0.0005573741757957518;0.023608773280197167;0.01673352661532525;22.120010833276407;0.9635200905989949
24;PETR4;Google News + Twitter + IFR + MME + MMS;model_1;0.0001985605340451002;0.0003781849233111953;0.01944697722812456;0.013091308701796483;27.602796939104863;0.9625231706350917
25;VALE3;Google News + Twitter + IFR + MME + MMS;model_1;0.0003099524474237114;0.0009314950519484739;0.03052040386280093;0.021808740112554008;38.69125666398258;0.9749048848686815
26;BBDC4;Google News + Twitter + IFR + MME + MMS;model_1;0.0003587804385460913;0.0005576517452348818;0.023614651071630972;0.01690012659094991;27.409563751686612;0.9678741484222062
27;ITUB4;Google News + Twitter + IFR + MME + MMS;model_1;0.00022139378415886313;0.0005513699365135184;0.023481267779094008;0.016537752269259718;22.26145202093415;0.9639130655780117
