;Unnamed: 0;Stock;Description;Model;Loss;MSE;RMSE;MAE;MAPE;R²
0;0;PETR4;Stock Data;model_1;0.0001677903783274;0.000309426557567;0.0175905246529784;0.0116195814738155;276.009.660.334.391;0.9693368889553304
1;1;VALE3;Stock Data;model_1;9,61E+10;0.0004897392237689;0.0221300525026262;0.0162537959797553;26.622.152.750.777.800;0.9868060896522236
2;2;BBDC4;Stock Data;model_1;0.0003429531934671;0.0005185340448857;0.0227713426236959;0.0164148237129857;3.240.443.982.773.820;0.9701276864882468
3;3;ITUB4;Stock Data;model_1;0.0001865059603005;0.0004093599207897;0.0202326449281777;0.0149077878560329;25.212.895.290.911.600;0.9732075624036738
4;4;PETR4;Stock Data + Google News;model_1;0.0001768629008438;0.0003347206001139;0.0182953710023587;0.0122158993936002;2.900.246.322.334.610;0.966830336054756
5;5;VALE3;Stock Data + Google News;model_1;8,96E+10;0.0003780737190752;0.0194441178528434;0.0144458315923508;2.499.097.184.780.820;0.9898144348824256
6;6;BBDC4;Stock Data + Google News;model_1;0.0003396862593945;0.0005188955597695;0.0227792791758119;0.0163700903267718;32.270.116.432.171.800;0.9701068599175416
7;7;ITUB4;Stock Data + Google News;model_1;0.0001813098206184;0.0004003366936383;0.0200084155704133;0.0145793314820538;24.623.908.554.471.600;0.9737981288907492
8;8;PETR4;Stock Data + Twitter;model_1;0.000176993678906;0.0003266813398252;0.0180743281984481;0.0121832477797833;2.887.753.086.241.010;0.9676269991882912
9;9;VALE3;Stock Data + Twitter;model_1;9,41E+10;0.0005500731564896;0.0234536384488559;0.0177300345814337;2.975.629.840.628.790;0.9851806521528156
10;10;BBDC4;Stock Data + Twitter;model_1;0.0003427577903494;0.0005141871408063;0.0226756949354657;0.0163689911069242;3.222.036.660.389.690;0.970378108003955
11;11;ITUB4;Stock Data + Twitter;model_1;0.0001835019065765;0.0004103053907823;0.020255996415442;0.0148168474079664;25.034.955.529.570.200;0.9731456817834868
12;12;PETR4;Stock Data + IFR + MMS + MME;model_1;0.0001778004079824;0.000325209777477;0.0180335736191428;0.0118988885205581;2.858.651.698.578.300;0.9677728259720232
13;13;VALE3;Stock Data + IFR + MMS + MME;model_1;0.0001010624982882;0.0004765826510421;0.0218307730289652;0.0161466934640363;27.871.908.248.321.600;0.9871605367387885
