;Stock;Description;Model;Loss;MSE;RMSE;MAE;MAPE;R²
0;PETR4;Stock Data + IT (IFR + MMS + MME);model_2;0.00023485033307224512;0.00030298326183167065;0.017406414387566172;0.011451097296314477;2.744166889204822;0.9699753974730894
1;VALE3;Stock Data + IT (IFR + MMS + MME);model_2;0.00013069823035039008;0.0004797990503976379;0.021904315793871258;0.016750382320245148;2.840536523855621;0.987073884735684
2;BBDC4;Stock Data + IT (IFR + MMS + MME);model_2;0.00043518314487300813;0.0005252267423763148;0.022917825864953133;0.0166162209282546;3.2897094493571872;0.9697421257721293
3;ITUB4;Stock Data + IT (IFR + MMS + MME);model_2;0.00037085142685100436;0.00038512277579663294;0.01962454523795731;0.014264211425806384;2.4137505704340962;0.9747938735244291
