;Stock;Description;Model;Loss;MSE;RMSE;MAE;MAPE;R²
0;PETR4;Stock Data;model_2;0.0002015245845541358;0.00031157879261782274;0.017651594619688692;0.01179038755490537;2.7899079404632765;0.9691236098403275
1;VALE3;Stock Data;model_2;0.0001168679737020284;0.0003427481030370593;0.01851345734964324;0.013594428479451607;2.3743221719434606;0.9907661311901077
2;BBDC4;Stock Data;model_2;0.0004009211261291057;0.0004895277219466806;0.022125273375637206;0.015916187874673134;3.1478250408622057;0.9717987165415386
3;ITUB4;Stock Data;model_2;0.00030115226400084794;0.00039665525364139206;0.019916205804354204;0.014542478360071527;2.4430330203798722;0.9740390776167335
4;PETR4;Stock Data + Google News;model_2;0.0002141817967640236;0.00031564395535870285;0.017766371474184108;0.011929051627270178;2.8131458043302127;0.9687207661493452
5;VALE3;Stock Data + Google News;model_2;0.00011396301124477759;0.00033918626307987944;0.01841701015582821;0.013690013091266476;2.381592112142281;0.9908620895997824
6;BBDC4;Stock Data + Google News;model_2;0.00041863968363031745;0.000506868498842389;0.02251374022330339;0.016353116787083163;3.2245142556240327;0.9707997288587142
7;ITUB4;Stock Data + Google News;model_2;0.00023713022528681904;0.00039766840471748034;0.019941624926707462;0.014490520719487655;2.447807610231419;0.9739727672976153
8;PETR4;Stock Data + Twitter;model_2;0.00030674945446662605;0.00030301203938802476;0.01740724100447928;0.01165011609722336;2.758691565709267;0.969972545715913
9;VALE3;Stock Data + Twitter;model_2;0.00010866516822716221;0.00035538498922609593;0.01885165746628386;0.014255726372746007;2.534146155437962;0.9904256848150552
10;BBDC4;Stock Data + Twitter;model_2;0.00042769216815941036;0.0005053959019025743;0.022481012030212837;0.016225200256220308;3.1951549328268767;0.970884563939258
11;ITUB4;Stock Data + Twitter;model_2;0.0002906479639932513;0.00039989688024448327;0.01999742183993935;0.014621991835363474;2.452673464140499;0.9738269144955701
12;PETR4;Stock Data + IT (IFR + MMS + MME);model_2;0.0002213755069533363;0.0002896374517530372;0.01701873825384941;0.011339498385325187;2.689251980390064;0.9712979214983051
13;VALE3;Stock Data + IT (IFR + MMS + MME);model_2;0.0001351211394648999;0.0004348656623176866;0.02085343286650154;0.01547389922555762;2.6878167025994775;0.9882844210071843
14;BBDC4;Stock Data + IT (IFR + MMS + MME);model_2;0.000482071511214599;0.000504981774630609;0.022471799541438797;0.016234286930164134;3.211741162195783;0.970908421465729
15;ITUB4;Stock Data + IT (IFR + MMS + MME);model_2;0.0002543302543926984;0.0003861346245837113;0.01965030851115858;0.014262456944289216;2.41254493303797;0.9747276484395884
16;PETR4;Google News + Twitter + IFR + MMS;model_2;0.0002124261372955516;0.00029546968172442775;0.017189231562941602;0.011318407915025487;2.72114285449724;0.9707199675028337
17;VALE3;Google News + Twitter + IFR + MMS;model_2;0.00010233201464870945;0.00047046532951207636;0.021690212758571005;0.016685422705325855;2.880748982857127;0.9873253415735243
18;BBDC4;Google News + Twitter + IFR + MMS;model_2;0.00045554403914138675;0.0005049964069640209;0.022472125110100757;0.016152687522884963;3.2074855588515097;0.9709075785092145
19;ITUB4;Google News + Twitter + IFR + MMS;model_2;0.000249522301601246;0.00041168004710170626;0.020289900125473912;0.01464566767008763;2.469813368009733;0.9730557110956374
20;PETR4;Google News + Twitter + IFR + MME;model_2;0.00021791463950648904;0.00029403227127728656;0.017147369223215747;0.011487267460998039;2.7410641054444973;0.9708624099502565
21;VALE3;Google News + Twitter + IFR + MME;model_2;0.00013741925067733973;0.0004789337760623853;0.021884555651472234;0.016632011630899328;2.891665241853924;0.987097195819321
22;BBDC4;Google News + Twitter + IFR + MME;model_2;0.00037430867087095976;0.000522890875318995;0.02286680728302478;0.016528425618644583;3.2720810671376386;0.9698766931235814
23;ITUB4;Google News + Twitter + IFR + MME;model_2;0.00025079373153857887;0.0004086571234021627;0.020215269560462525;0.014553784120380676;2.459046187420307;0.9732535602021699
24;PETR4;Google News + Twitter + IFR + MME + MMS;model_2;0.0002088993787765503;0.00030839020365057494;0.01756104221424728;0.011645314709531705;2.7944877854132244;0.9694395880755097
25;VALE3;Google News + Twitter + IFR + MME + MMS;model_2;0.00013004170614294708;0.0005317286504293098;0.0230592421911326;0.0174657736671642;2.980717865956515;0.9856748657191126
26;BBDC4;Google News + Twitter + IFR + MME + MMS;model_2;0.00043334285146556795;0.0006298423076280915;0.02509665929218651;0.018581316409608403;3.6405164370201706;0.9637153103793253
27;ITUB4;Google News + Twitter + IFR + MME + MMS;model_2;0.00029448058921843767;0.0004221135647339657;0.020545402520611898;0.014820102861273998;2.497665643907782;0.9723728416795665
